,ROW_ID,ORDER_ID,ORDER_DATE,PRIORITY,QUANTITY,SALES,DISCOUNT,MODE,PROFIT,UNIT_PRICE,SHIPPING_COSTS,CUSTOMER_ID,PROVINCE,REGION,SEGMENT,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PRODUCT_CONTAINER,SHIP_DATE,MANAGER,CUSTOMER_NAME,CUSTOMER_TYPE,ORDER_STATUS
0,1,3,10/13/1982,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35.0,1,Nunavut,The Northern Territories,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,10/20/2010,,Muhammed MacIntyre,Type - E,
1,1930,13795,4/10/2011,Not Specified,37,1302.99,0.02,Regular Air,545.49,35.44,5.09,1,Northwest Territories,The Northern Territories,Small Business,Office Supplies,Paper,Xerox 1932,Small Box,4/11/2011,,Muhammed MacIntyre,Type - E,
2,1929,13795,4/10/2011,Not Specified,23,275.16,0.05,Express Air,43.35,11.34,5.01,1,Northwest Territories,The Northern Territories,Small Business,Office Supplies,Paper,Xerox 188,Small Box,4/13/2011,,Muhammed MacIntyre,Type - E,
3,1928,13795,4/10/2011,Not Specified,30,501.32,0.04,Regular Air,-119.08,15.99,13.18,1,Northwest Territories,The Northern Territories,Small Business,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,4/13/2011,,Muhammed MacIntyre,Type - E,
4,2384,17286,9/21/2010,High,7,1810.67,0.09,Delivery Truck,-541.87,270.98,50.0,1,Northwest Territories,The Northern Territories,Small Business,Furniture,Chairs & Chairmats,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jumbo Drum,9/22/2010,,Muhammed MacIntyre,Type - E,
5,2402,17409,8/17/2010,Not Specified,31,633.56,0.09,Regular Air,-158.87,20.97,6.5,1,Northwest Territories,The Northern Territories,Small Business,Technology,Computer Peripherals,Microsoft Internet Keyboard,Small Box,8/19/2010,,Muhammed MacIntyre,Type - E,
6,5139,36646,6/8/2010,Medium,24,1168.15,0.04,Express Air,-743.96,48.91,35.0,1,Northwest Territories,The Northern Territories,Small Business,Office Supplies,Storage & Organization,Tennsco Industrial Shelving,Large Box,6/9/2010,,Muhammed MacIntyre,Type - E,
7,5236,37253,9/1/2012,High,46,1184.32,0.09,Regular Air,-99.55,26.31,5.89,1,Northwest Territories,The Northern Territories,Small Business,Technology,Computer Peripherals,"Micro Innovations Micro 3000 Keyboard, Black",Small Box,9/1/2012,,Muhammed MacIntyre,Type - E,
8,7422,52929,4/8/2011,High,20,77.99,0.03,Regular Air,19.68,3.93,0.99,1,Northwest Territories,The Northern Territories,Small Business,Office Supplies,Rubber Bands,Staples Vinyl Coated Paper Clips,Wrap Bag,4/9/2011,,Muhammed MacIntyre,Type - E,
9,7421,52929,4/8/2011,High,7,46.94,0.02,Regular Air,7.34,6.47,1.22,1,Northwest Territories,The Northern Territories,Small Business,Office Supplies,Pens & Art Supplies,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Wrap Bag,4/9/2011,,Muhammed MacIntyre,Type - E,
